task,category,tdc_dataset,endpoint_definition,prediction_type,label_or_unit,primary_source,source_note,known_noise_or_quality_limit,applicability_domain_limit,source_url
bioavailability_ma,Absorption,Bioavailability_Ma,Human oral bioavailability,binary classification,binary label,Ma et al. 2008,Compiled human oral-bioavailability measurements,Small dataset and source-dependent formulation/assay context,Structural scaffold split does not represent formulation or population shifts,https://tdcommons.ai/single_pred_tasks/adme/
caco2_wang,Absorption,Caco2_Wang,Caco-2 cell effective permeability,regression,TDC transformed permeability label,Wang et al. 2016,In vitro Caco-2 permeability,Cell line protocol and laboratory conditions affect permeability measurements,Applicable to the chemical and assay domain represented by the curated set,https://tdcommons.ai/single_pred_tasks/adme/
hia_hou,Absorption,HIA_Hou,Human intestinal absorption,binary classification,binary label,Hou et al. 2007,Compiled oral-absorption labels,Class imbalance and thresholded heterogeneous measurements,Does not model formulation or patient-level absorption variability,https://tdcommons.ai/single_pred_tasks/adme/
lipophilicity_astrazeneca,Absorption,Lipophilicity_AstraZeneca,Lipophilicity,regression,experimental logD,AstraZeneca 2016; MoleculeNet,Public AstraZeneca DMPK and physicochemical measurements,Experimental protocol and pH context influence logD,Restricted to the measured chemical space and assay conditions,https://tdcommons.ai/single_pred_tasks/adme/
pgp_broccatelli,Absorption,Pgp_Broccatelli,P-glycoprotein inhibition,binary classification,binary inhibitor label,Broccatelli et al. 2011,Molecular-interaction-field P-gp inhibition collection,Assay thresholds and transporter protocol vary across source measurements,Does not establish transport direction or clinical drug-drug interaction risk,https://tdcommons.ai/single_pred_tasks/adme/
solubility_aqsoldb,Absorption,Solubility_AqSolDB,Aqueous solubility,regression,log mol/L,Sorkun et al. 2019,AqSolDB aggregation,Temperature pH salt form and protocol heterogeneity contribute label noise,Predictions should not be transferred across unrepresented formulation conditions,https://tdcommons.ai/single_pred_tasks/adme/
bbb_martins,Distribution,BBB_Martins,Blood-brain barrier penetration,binary classification,binary penetration label,Martins et al. 2012,Curated BBB penetration labels,Endpoint definitions and in vivo/in vitro evidence can differ,Not a quantitative brain-exposure or transporter-specific endpoint,https://tdcommons.ai/single_pred_tasks/adme/
ppbr_az,Distribution,PPBR_AZ,Plasma protein binding rate,regression,percent bound,AstraZeneca ChEMBL assay collection,AstraZeneca-deposited ChEMBL measurements used in the frozen benchmark snapshot,Species and assay conditions can materially change PPBR,Use is limited to the frozen benchmark species and chemical coverage,https://tdcommons.ai/single_pred_tasks/adme/
vdss_lombardo,Distribution,VDss_Lombardo,Steady-state volume of distribution,regression,L/kg,Lombardo et al. 2016,Human volume-of-distribution compilation,Clinical estimates combine biological and study-level variability,Does not replace population pharmacokinetic modelling,https://tdcommons.ai/single_pred_tasks/adme/
cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9_Substrate_CarbonMangels,CYP2C9 substrate status,binary classification,binary substrate label,Carbon-Mangels and Hutter 2011; admetSAR,Merged substrate and non-substrate information from multiple publications,Merged sources can use different substrate evidence and thresholds,CYP isoform overlap means cross-task molecular overlap must be filtered for transfer models,https://tdcommons.ai/single_pred_tasks/adme/
