task,source,score_text,split_status,evidence,paper_use_recommendation
ames,ames_repeated_tabular_ensemble5seed_audit_v1,0.871945 ± 0.000583,confirmed_official_split,ames_repeated_tabular_ensemble5seed_audit_v1.py uses data/data_benchmark_official_v1.,OK for v36 formal table
bbb_martins,pure_chem_multibackend_endpoint_v1,0.927779 ± 0.000477,confirmed_official_split,tools/run_pure_chem_multibackend_endpoint_v1.py DATA_ROOT=data/data_benchmark_official_v1.,OK for v36 formal table
clearance_hepatocyte_az,clearance_pooled_family_xgb_v1_fp_only_valid_adjusted,0.552040 ± 0.009650,confirmed_official_split,tools/run_clearance_pooled_family_xgb_v1.py defaults to data/data_benchmark_official_v1.,OK for v36 formal table
clearance_microsome_az,clearance_microsome_kpgt_ept_seedbag_endpoint_v1,0.642814 ± 0.005773,confirmed_official_prediction_sources,Endpoint builder consumes official-split prediction files; upstream official EPT/sidecar sources use data_benchmark_official_v1.,OK for v36 formal table
cyp2d6_substrate_carbonmangels,cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1,0.747531 ± 0.009610,confirmed_official_split,tools/build_cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1.py reads data/data_benchmark_official_v1 and official prediction roots.,OK for v36 formal table
cyp3a4_substrate_carbonmangels,cyp_substrate_pooled_family_xgb_v1,0.725249 ± 0.004760,confirmed_official_split,tools/run_cyp_substrate_pooled_family_xgb_v1.py defaults to data/data_benchmark_official_v1.,OK for v36 formal table
hia_hou,hia_hou_true5run_seedvarying_endpoint_audit_v1,0.994280 ± 0.001736,confirmed_official_split,build_hia_true5run_endpoint_v35.py consumes run_hia_cyp3a4_neartop_fast_v1 outputs; that runner uses data/data_benchmark_official_v1.,OK for v36 formal table
pgp_broccatelli,pgp_frozen_blend_audit_v1,0.938363 ± 0.003565,confirmed_official_split,pgp_frozen_blend_audit_v1.py reads labels from data/data_benchmark_official_v1 and official prediction roots.,OK for v36 formal table
ppbr_az,ppbr_kpgt_fp_seedbag_endpoint_v1,7.330617 ± 0.098555,confirmed_official_split,tools/build_ppbr_kpgt_fp_seedbag_endpoint_v1.py reads data/data_benchmark_official_v1.,OK for v36 formal table
solubility_aqsoldb,solubility_clean_selector_v2_valid_selected_fp_xgb_metric_xl,0.738443 ± 0.000456,confirmed_official_split,tools/run_solubility_clean_selector_v2.py reads data/data_benchmark_official_v1 and valid-only selection artifacts.,OK for v36 formal table
cyp2c9_substrate_carbonmangels,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,0.443370 ± 0.023358,confirmed_official_split,tools/run_fixed_chemical_endpoint_5run_v1.py reads data/data_benchmark_official_v1 and reruns fixed endpoint seeds.,OK for v36 formal table
vdss_lombardo,v29_rank_uplift_formula_seedwise,0.660995 ± 0.004668,confirmed_official_reproduction_with_caveat,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",OK for v36 formal table
cyp2d6_veith,v29_rank_uplift_formula_seedwise,0.719172 ± 0.005514,confirmed_official_reproduction_with_caveat,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",OK for v36 formal table
cyp3a4_veith,v29_rank_uplift_formula_seedwise,0.884121 ± 0.003206,confirmed_official_reproduction_with_caveat,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",OK for v36 formal table
lipophilicity_astrazeneca,v29_rank_uplift_formula_seedwise,0.472895 ± 0.006499,confirmed_official_reproduction_with_caveat,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",OK for v36 formal table
caco2_wang,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,0.283647 ± 0.002290,confirmed_official_split,tools/run_fixed_chemical_endpoint_5run_v1.py reads data/data_benchmark_official_v1 and reruns fixed endpoint seeds.,OK for v36 formal table
ld50_zhu,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,0.603071 ± 0.003837,confirmed_official_split,tools/run_fixed_chemical_endpoint_5run_v1.py reads data/data_benchmark_official_v1 and reruns fixed endpoint seeds.,OK for v36 formal table
