task,category,tdc_dataset,endpoint_definition,prediction_type,label_or_unit,primary_source,primary_reference_title,primary_doi_or_accession,primary_reference_url,tdc_catalog_url,provenance_basis,source_note,known_noise_or_quality_limit,applicability_domain_limit,source_url,n_total,n_train,n_valid,n_test,n_unique_smiles,positive_n,positive_prevalence,label_min,label_max,split_protocol
bioavailability_ma,Absorption,Bioavailability_Ma,Human oral bioavailability,binary classification,binary label,Ma et al. 2008,Prediction models of human plasma protein binding rate and oral bioavailability derived by using GA-CG-SVM method,10.1016/j.jpba.2008.03.023,https://doi.org/10.1016/j.jpba.2008.03.023,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,Compiled human oral-bioavailability measurements,Small dataset and source-dependent formulation/assay context,Structural scaffold split does not represent formulation or population shifts,https://doi.org/10.1016/j.jpba.2008.03.023,640,448,64,128,640,492,0.76875,0.0,1.0,frozen TDC ADMET scaffold split
caco2_wang,Absorption,Caco2_Wang,Caco-2 cell effective permeability,regression,TDC transformed permeability label,Wang et al. 2016,ADME properties evaluation in drug discovery: prediction of Caco-2 cell permeability using a combination of NSGA-II and boosting,10.1021/acs.jcim.5b00642,https://doi.org/10.1021/acs.jcim.5b00642,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,In vitro Caco-2 permeability,Cell line protocol and laboratory conditions affect permeability measurements,Applicable to the chemical and assay domain represented by the curated set,https://doi.org/10.1021/acs.jcim.5b00642,910,637,91,182,906,,,-7.7600002,-3.51,frozen TDC ADMET scaffold split
hia_hou,Absorption,HIA_Hou,Human intestinal absorption,binary classification,binary label,Hou et al. 2007,ADME evaluation in drug discovery. 7. Prediction of oral absorption by correlation and classification,10.1021/ci600343x,https://doi.org/10.1021/ci600343x,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,Compiled oral-absorption labels,Class imbalance and thresholded heterogeneous measurements,Does not model formulation or patient-level absorption variability,https://doi.org/10.1021/ci600343x,578,403,58,117,578,500,0.8650519031141869,0.0,1.0,frozen TDC ADMET scaffold split
lipophilicity_astrazeneca,Absorption,Lipophilicity_AstraZeneca,Lipophilicity,regression,experimental logD,AstraZeneca 2016; MoleculeNet,Experimental in vitro DMPK and physicochemical data on a set of publicly disclosed compounds,10.6019/CHEMBL3301361,https://doi.org/10.6019/CHEMBL3301361,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,Public AstraZeneca DMPK and physicochemical measurements,Experimental protocol and pH context influence logD,Restricted to the measured chemical space and assay conditions,https://doi.org/10.6019/CHEMBL3301361,4200,2940,420,840,4200,,,-1.5,4.5,frozen TDC ADMET scaffold split
pgp_broccatelli,Absorption,Pgp_Broccatelli,P-glycoprotein inhibition,binary classification,binary inhibitor label,Broccatelli et al. 2011,A novel approach for predicting P-glycoprotein (ABCB1) inhibition using molecular interaction fields,10.1021/jm101421d,https://doi.org/10.1021/jm101421d,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,Molecular-interaction-field P-gp inhibition collection,Assay thresholds and transporter protocol vary across source measurements,Does not establish transport direction or clinical drug-drug interaction risk,https://doi.org/10.1021/jm101421d,1218,851,122,245,1212,650,0.5336617405582923,0.0,1.0,frozen TDC ADMET scaffold split
solubility_aqsoldb,Absorption,Solubility_AqSolDB,Aqueous solubility,regression,log mol/L,Sorkun et al. 2019,"AqSolDB, a curated reference set of aqueous solubility and 2D descriptors for a diverse set of compounds",10.1038/s41597-019-0151-1,https://doi.org/10.1038/s41597-019-0151-1,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,AqSolDB aggregation,Temperature pH salt form and protocol heterogeneity contribute label noise,Predictions should not be transferred across unrepresented formulation conditions,https://doi.org/10.1038/s41597-019-0151-1,9980,5045,2940,1995,9980,,,-13.1719,2.1376816201,frozen TDC ADMET scaffold split
bbb_martins,Distribution,BBB_Martins,Blood-brain barrier penetration,binary classification,binary penetration label,Martins et al. 2012,A Bayesian approach to in silico blood-brain barrier penetration modeling,10.1021/ci300124c,https://doi.org/10.1021/ci300124c,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,Curated BBB penetration labels,Endpoint definitions and in vivo/in vitro evidence can differ,Not a quantitative brain-exposure or transporter-specific endpoint,https://doi.org/10.1021/ci300124c,2030,1421,203,406,1975,1551,0.7640394088669951,0.0,1.0,frozen TDC ADMET scaffold split
ppbr_az,Distribution,PPBR_AZ,Plasma protein binding rate,regression,percent bound,AstraZeneca ChEMBL assay collection,Experimental in vitro DMPK and physicochemical data on a set of publicly disclosed compounds,10.6019/CHEMBL3301361,https://doi.org/10.6019/CHEMBL3301361,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,AstraZeneca-deposited ChEMBL measurements used in the frozen benchmark snapshot,Species and assay conditions can materially change PPBR,Use is limited to the frozen benchmark species and chemical coverage,https://doi.org/10.6019/CHEMBL3301361,2790,1952,279,559,1797,,,10.09,99.95,frozen TDC ADMET scaffold split
vdss_lombardo,Distribution,VDss_Lombardo,Steady-state volume of distribution,regression,L/kg,Lombardo et al. 2016,In silico prediction of volume of distribution in humans: extensive data set and the exploration of linear and nonlinear methods coupled with molecular interaction fields descriptors,10.1021/acs.jcim.6b00044,https://doi.org/10.1021/acs.jcim.6b00044,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,Human volume-of-distribution compilation,Clinical estimates combine biological and study-level variability,Does not replace population pharmacokinetic modelling,https://doi.org/10.1021/acs.jcim.6b00044,1130,791,113,226,1111,,,0.01,700.0,frozen TDC ADMET scaffold split
cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9_Substrate_CarbonMangels,CYP2C9 substrate status,binary classification,binary substrate label,Carbon-Mangels and Hutter 2011; admetSAR,Selecting relevant descriptors for classification by Bayesian estimates: a comparison with decision trees and support vector machines approaches for disparate data sets,10.1002/minf.201100069,https://doi.org/10.1002/minf.201100069,https://tdcommons.ai/single_pred_tasks/adme/,TDC dataset catalogue cross-checked against the named primary publication or ChEMBL document,Merged substrate and non-substrate information from multiple publications,Merged sources can use different substrate evidence and thresholds,CYP isoform overlap means cross-task molecular overlap must be filtered for transfer models,https://doi.org/10.1002/minf.201100069,669,467,67,135,666,141,0.21076233183856502,0.0,1.0,frozen TDC ADMET scaffold split
