category,dataset,task,metric,n_runs,score_mean,score_std,selected_candidate,endpoint_family_summary,seed_definition,formal_variant_count_in_checked_audit,candidate_pool_scope,selection_evidence_summary,selected_endpoint_config_full,test_score_source_file,split_status,source_provenance,source_evidence,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,data_new_used
Absorption,TDC.AqSol,solubility_aqsoldb,MAE,5,0.738443,0.000456,solubility_clean_selector_v2_valid_selected_fp_xgb_metric_xl,KPGT/EPT hybrid endpoint,5 formal run(s) reported,6,chemistry-prior predictors; sequence/pretrained molecular embeddings; graph embeddings; EPT/3D-containing predictors; prediction-level blends,official validation evidence or validation-adjusted selector,0.3*FP-XGB + 0.3*metric_auto(K+E) + 0.4*XL_v4,results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,solubility_clean_selector_v2_valid_selected_fp_xgb_metric_xl,tools/run_solubility_clean_selector_v2.py reads data/data_benchmark_official_v1 and valid-only selection artifacts.,True,True,False,False,No
Absorption,TDC.Bioav,bioavailability_ma,AUROC,5,0.722248,0.004048,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,Fixed chemical-prior ExtraTrees,"formal seeds 101, 202, 303, 404, 505",6,chemistry-prior predictors; graph embeddings; seed/fold-bagged variants,predeclared fixed endpoint family; five formal seeds rerun on official split,"Canonical backup uses chem fixed chemical endpoint: kpgt/chem_core_pair_torsion/extratrees/topk=all; formal seeds=101,202,303,404,505.",results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,tools/run_fixed_chemical_endpoint_5run_v1.py reads data/data_benchmark_official_v1 and reruns fixed endpoint seeds.,True,False,False,True,No
Absorption,TDC.Caco2,caco2_wang,MAE,5,0.283647,0.00229,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,Fixed chemical-prior ExtraTrees,"formal seeds 101, 202, 303, 404, 505",6,chemistry-prior predictors; sequence/pretrained molecular embeddings; graph embeddings; seed/fold-bagged variants,predeclared fixed endpoint family; five formal seeds rerun on official split,"Canonical backup uses chem fixed chemical endpoint: chemberta_kpgt/chem_core_pair_torsion/extratrees/topk=512; formal seeds=101,202,303,404,505.",results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,tools/run_fixed_chemical_endpoint_5run_v1.py reads data/data_benchmark_official_v1 and reruns fixed endpoint seeds.,True,False,False,True,No
Absorption,TDC.HIA,hia_hou,AUROC,5,0.99428,0.001736,hia_hou_true5run_seedvarying_endpoint_audit_v1,Task-specific frozen endpoint,true seed-varying five-run endpoint,6,chemistry-prior predictors; prediction-level blends; seed/fold-bagged variants,official validation evidence or validation-adjusted selector,rank(0.1*selected_gated_5seed + 0.5*official_sidecar_bagged + 0.4*chem_logreg_trainonly); valid-only saturated-valid tie-break; true seed-varying 5-run final scores,results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,hia_hou_true5run_seedvarying_endpoint_audit_v1,build_hia_true5run_endpoint_v35.py consumes run_hia_cyp3a4_neartop_fast_v1 outputs; that runner uses data/data_benchmark_official_v1.,True,False,True,True,No
Absorption,TDC.Lipo,lipophilicity_astrazeneca,MAE,5,0.472895,0.006499,v29_rank_uplift_formula_seedwise,XL chemical-prior endpoint,seed-bagged endpoint; exact seed grouping in S2,6,chemistry-prior predictors; sequence/pretrained molecular embeddings; EPT/3D-containing predictors; prediction-level blends; seed/fold-bagged variants,frozen prediction-level blend selected before final reporting,raw(0.2*XL_K + 0.1*tabular FP + 0.3*K metric_auto + 0.4*K SmoothL1 seedbag),results_strict/final_22task_score_config_table_v36.csv,confirmed_official_reproduction_with_caveat,v29_rank_uplift_formula_seedwise,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",True,True,True,True,No
Absorption,TDC.Pgp,pgp_broccatelli,AUROC,5,0.938363,0.003565,pgp_frozen_blend_audit_v1,KPGT/EPT hybrid endpoint,5 formal run(s) reported,6,graph embeddings; EPT/3D-containing predictors; prediction-level blends,frozen prediction-level blend selected before final reporting,logit(0.65*layerwise_selected_gated + 0.25*aux_K+E + 0.10*aux_K),results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,pgp_frozen_blend_audit_v1,pgp_frozen_blend_audit_v1.py reads labels from data/data_benchmark_official_v1 and official prediction roots.,False,False,True,False,No
Distribution,TDC.BBB,bbb_martins,AUROC,5,0.927779,0.000477,pure_chem_multibackend_endpoint_v1,Descriptor/fingerprint ExtraTrees,5 formal run(s) reported,6,chemistry-prior predictors,frozen v36 endpoint ledger entry; see selected candidate and source provenance,ExtraTrees over chemical descriptors/fingerprints,results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,pure_chem_multibackend_endpoint_v1,tools/run_pure_chem_multibackend_endpoint_v1.py DATA_ROOT=data/data_benchmark_official_v1.,True,False,False,False,No
Distribution,TDC.PPBR,ppbr_az,MAE,5,7.330617,0.098555,ppbr_kpgt_fp_seedbag_endpoint_v1,KPGT/fingerprint hybrid endpoint,seed-bagged endpoint; exact seed grouping in S2,6,chemistry-prior predictors; graph embeddings; prediction-level blends; seed/fold-bagged variants,frozen v36 endpoint ledger entry; see selected candidate and source provenance,0.7*KPGT_seedbag + 0.3*fp_only,results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,ppbr_kpgt_fp_seedbag_endpoint_v1,tools/build_ppbr_kpgt_fp_seedbag_endpoint_v1.py reads data/data_benchmark_official_v1.,True,False,True,True,No
Distribution,TDC.VD,vdss_lombardo,Spearman,5,0.660995,0.004668,v29_rank_uplift_formula_seedwise,KPGT/EPT hybrid endpoint,seed-bagged endpoint; exact seed grouping in S2,6,chemistry-prior predictors; graph embeddings; EPT/3D-containing predictors; prediction-level blends; seed/fold-bagged variants,frozen prediction-level blend selected before final reporting,rank(0.9*KPGT+EPT Spearman seedbag + 0.1*KPGT+EPT descriptor sidecar),results_strict/final_22task_score_config_table_v36.csv,confirmed_official_reproduction_with_caveat,v29_rank_uplift_formula_seedwise,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",True,True,True,True,No
Excretion,TDC.CL-Hepa,clearance_hepatocyte_az,Spearman,5,0.55204,0.00965,clearance_pooled_family_xgb_v1_fp_only_valid_adjusted,Family-transfer fingerprint XGBoost,5 formal run(s) reported,6,chemistry-prior predictors,official validation evidence or validation-adjusted selector,clearance family-transfer XGB; fingerprint-only; valid_adjusted selector,results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,clearance_pooled_family_xgb_v1_fp_only_valid_adjusted,tools/run_clearance_pooled_family_xgb_v1.py defaults to data/data_benchmark_official_v1.,True,False,False,False,No
Excretion,TDC.CL-Micro,clearance_microsome_az,Spearman,5,0.642814,0.005773,clearance_microsome_kpgt_ept_seedbag_endpoint_v1,KPGT/EPT hybrid endpoint,five-by-five seed/fold bagging endpoint,6,graph embeddings; EPT/3D-containing predictors; prediction-level blends; seed/fold-bagged variants,frozen v36 endpoint ledger entry; see selected candidate and source provenance,KPGT+EPT seedbag_5x5; equal seed-bag average,results_strict/final_22task_score_config_table_v36.csv,confirmed_official_prediction_sources,clearance_microsome_kpgt_ept_seedbag_endpoint_v1,Endpoint builder consumes official-split prediction files; upstream official EPT/sidecar sources use data_benchmark_official_v1.,False,True,True,True,No
Excretion,TDC.Half_Life,half_life_obach,Spearman,5,0.49139,0.009785,v29_rank_uplift_formula_seedwise,Task-specific frozen endpoint,seed-bagged endpoint; exact seed grouping in S2,6,chemistry-prior predictors; sequence/pretrained molecular embeddings; graph embeddings; prediction-level blends; seed/fold-bagged variants,frozen prediction-level blend selected before final reporting,zscore(0.5*C+K metric_auto + 0.1*C+K Spearman seedbag + 0.4*C+K descriptor sidecar),results_strict/final_22task_score_config_table_v36.csv,confirmed_official_reproduction_with_caveat,v29_rank_uplift_formula_seedwise,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",True,False,True,True,No
Metabolism,TDC.CYP2C9-I,cyp2c9_veith,AUPRC,5,0.790586,0.002608,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,Fixed chemical-prior XGBoost,"formal seeds 101, 202, 303, 404, 505",6,chemistry-prior predictors; graph embeddings; EPT/3D-containing predictors; seed/fold-bagged variants,predeclared fixed endpoint family; five formal seeds rerun on official split,"Canonical backup uses chem fixed chemical endpoint: kpgt_ept/chem_wide_chem/xgb/topk=all; formal seeds=101,202,303,404,505.",results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,tools/run_fixed_chemical_endpoint_5run_v1.py reads data/data_benchmark_official_v1 and reruns fixed endpoint seeds.,True,True,False,True,No
Metabolism,TDC.CYP2C9-S,cyp2c9_substrate_carbonmangels,AUPRC,5,0.44337,0.023358,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,Fixed chemical-prior XGBoost,"formal seeds 101, 202, 303, 404, 505",6,chemistry-prior predictors; sequence/pretrained molecular embeddings; graph embeddings; EPT/3D-containing predictors; seed/fold-bagged variants,predeclared fixed endpoint family; five formal seeds rerun on official split,"Canonical backup uses xl fixed chemical endpoint: xl_v4_kpgt/embed_chem_xl_full_chemical_prior/xgb/topk=1024; formal seeds=101,202,303,404,505.",results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,tools/run_fixed_chemical_endpoint_5run_v1.py reads data/data_benchmark_official_v1 and reruns fixed endpoint seeds.,True,True,False,True,No
Metabolism,TDC.CYP2D6-I,cyp2d6_veith,AUPRC,5,0.719172,0.005514,v29_rank_uplift_formula_seedwise,KPGT/EPT hybrid endpoint,seed-bagged endpoint; exact seed grouping in S2,6,chemistry-prior predictors; graph embeddings; EPT/3D-containing predictors; prediction-level blends; seed/fold-bagged variants,frozen prediction-level blend selected before final reporting,rank(0.4*K+E CE seedbag + 0.3*K+E FP/base_pred sidecar + 0.2*K+E AP + 0.1*tabular FP),results_strict/final_22task_score_config_table_v36.csv,confirmed_official_reproduction_with_caveat,v29_rank_uplift_formula_seedwise,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",True,False,True,True,No
Metabolism,TDC.CYP2D6-S,cyp2d6_substrate_carbonmangels,AUPRC,5,0.747531,0.00961,cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1,XL chemical-prior endpoint,seed-bagged endpoint; exact seed grouping in S2,6,chemistry-prior predictors; sequence/pretrained molecular embeddings; EPT/3D-containing predictors; prediction-level blends; seed/fold-bagged variants,frozen prediction-level blend selected before final reporting,zscore(0.8*AP_surrogate_seedbag + 0.1*XL + 0.1*descriptor_sidecar_v2),results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1,tools/build_cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1.py reads data/data_benchmark_official_v1 and official prediction roots.,True,True,True,True,No
Metabolism,TDC.CYP3A4-I,cyp3a4_veith,AUPRC,5,0.884121,0.003206,v29_rank_uplift_formula_seedwise,KPGT/EPT hybrid endpoint,seed-bagged endpoint; exact seed grouping in S2,6,chemistry-prior predictors; sequence/pretrained molecular embeddings; graph embeddings; EPT/3D-containing predictors; prediction-level blends; seed/fold-bagged variants,frozen prediction-level blend selected before final reporting,logit(0.2*XL_K+E + 0.3*K+E CE seedbag + 0.3*K+E AP + 0.2*tabular FP),results_strict/final_22task_score_config_table_v36.csv,confirmed_official_reproduction_with_caveat,v29_rank_uplift_formula_seedwise,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",True,True,True,True,No
Metabolism,TDC.CYP3A4-S,cyp3a4_substrate_carbonmangels,AUROC,5,0.725249,0.00476,cyp_substrate_pooled_family_xgb_v1,Family-transfer fingerprint XGBoost,5 formal run(s) reported,6,chemistry-prior predictors,predeclared family-transfer endpoint; task labels used only through train/validation fitting,CYP substrate family-transfer pooled XGB; fingerprint-only; task one-hot,results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,cyp_substrate_pooled_family_xgb_v1,tools/run_cyp_substrate_pooled_family_xgb_v1.py defaults to data/data_benchmark_official_v1.,True,False,False,False,No
Toxicity,TDC.AMES,ames,AUROC,5,0.871945,0.000583,ames_repeated_tabular_ensemble5seed_audit_v1,Repeated fingerprint XGBoost,five formal seeds with internal repeated scaffold fold-bag,6,chemistry-prior predictors; seed/fold-bagged variants,predeclared repeated tabular/fold-bag endpoint,repeated tabular ensemble; xgboost_500; 5 formal seeds with internal repeated scaffold fold-bag,results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,ames_repeated_tabular_ensemble5seed_audit_v1,ames_repeated_tabular_ensemble5seed_audit_v1.py uses data/data_benchmark_official_v1.,True,False,False,True,No
Toxicity,TDC.DILI,dili,AUROC,5,0.908609,0.00552,v29_rank_uplift_formula_seedwise,KPGT/EPT hybrid endpoint,seed-bagged endpoint; exact seed grouping in S2,6,chemistry-prior predictors; sequence/pretrained molecular embeddings; graph embeddings; EPT/3D-containing predictors; prediction-level blends; seed/fold-bagged variants,frozen prediction-level blend selected before final reporting,raw(0.6*XL_K+E + 0.2*K+E CE seedbag + 0.2*K+E descriptor sidecar),results_strict/final_22task_score_config_table_v36.csv,confirmed_official_reproduction_with_caveat,v29_rank_uplift_formula_seedwise,"tools/run_v29_exact_endpoint_5run_v1.py sets zoo.DATA=data/data_benchmark_official_v1; formulas are reproduced from v29 endpoint recipes, so cite v36/v29 exact formal table rather than old diagnostic exploration.",True,True,True,True,No
Toxicity,TDC.LD50,ld50_zhu,MAE,5,0.603071,0.003837,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,Fixed chemical-prior XGBoost,"formal seeds 101, 202, 303, 404, 505",6,chemistry-prior predictors; sequence/pretrained molecular embeddings; graph embeddings; EPT/3D-containing predictors; seed/fold-bagged variants,predeclared fixed endpoint family; five formal seeds rerun on official split,"Canonical backup uses xl fixed chemical endpoint: xl_v4_chemberta_kpgt/chem_xl_full_chemical_prior/xgb/topk=4096; formal seeds=101,202,303,404,505.",results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,tools/run_fixed_chemical_endpoint_5run_v1.py reads data/data_benchmark_official_v1 and reruns fixed endpoint seeds.,True,True,False,True,No
Toxicity,TDC.hERG,herg,AUROC,5,0.863358,0.002334,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,Fixed chemical-prior ExtraTrees,"formal seeds 101, 202, 303, 404, 505",6,chemistry-prior predictors; sequence/pretrained molecular embeddings; EPT/3D-containing predictors; seed/fold-bagged variants,predeclared fixed endpoint family; five formal seeds rerun on official split,"Canonical backup uses xl fixed chemical endpoint: xl_v4_ept/embed_chem_xl_morgan_family/extratrees/topk=all; formal seeds=101,202,303,404,505.",results_strict/final_22task_score_config_table_v36.csv,confirmed_official_split,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,tools/run_fixed_chemical_endpoint_5run_v1.py reads data/data_benchmark_official_v1 and reruns fixed endpoint seeds.,True,True,False,True,No
